log_volume,percentage_of_total_volume
1.2043808067287392,1.6412140179691617e-06
1.2104431174411763,1.6683134370460323e-06
1.216957207361097,1.6958013628955017e-06
1.2228246412110759,1.7236959541833926e-06
1.2283896552141962,1.7519563441415101e-06
1.2316238853830062,1.7805102390943016e-06
1.2367031131784503,1.8093331172938003e-06
1.2425391922226408,1.8385193732572419e-06
1.2481640441245605,1.8680841403263847e-06
1.2539129436063345,1.8980441282844202e-06
1.2576568356068325,1.928311356615665e-06
1.2635187814082771,1.958936975635e-06
1.2687300887049562,1.9899552012238403e-06
1.2739009851545158,2.0213578417268874e-06
1.2785249647370176,2.0532520570893289e-06
1.282290318393976,2.0851384357879659e-06
1.2879797094210494,2.1175477358839044e-06
1.2930787008055014,2.1503664917597058e-06
1.2966651902615312,2.1844454902701881e-06
1.2991755567049126,2.2168993119161259e-06
1.3007047176023376,2.2504388212375815e-06
1.3008127941181169,2.2845874619264625e-06
1.3010299956639813,2.4516759325801215e-06
1.3010299956639813,2.4516759325801215e-06
1.3010299956639813,2.4516759325801215e-06
1.3010299956639813,2.4516759325801215e-06
1.3010321671309621,2.4521158422465635e-06
1.3027683368855261,2.4857841978236114e-06
1.306557719092776,2.519680138202094e-06
1.3114225904986414,2.5539138108411276e-06
1.3160555595207528,2.5885267425989422e-06
1.3206056679296025,2.6235100210668222e-06
1.3234583668494677,2.660614402624555e-06
1.3278910635050416,2.6943663242391663e-06
1.3328876718040523,2.7303403553864159e-06
1.3373725335081019,2.7667055275736678e-06
1.3420156944391277,2.8034502207957228e-06
1.3442699662127828,2.8404667359903622e-06
1.3484955407287138,2.8777789837828328e-06
1.3531983310582587,2.9154840720789847e-06
1.3570162195153697,2.9535653666829029e-06
1.3609978914364105,2.9919860054472633e-06
1.3634301773836732,3.030669920507046e-06
1.3676534692268425,3.0696716550209185e-06
1.3718361238292618,3.1090504961226326e-06
1.3759358997996669,3.1488134573686989e-06
1.3801053695279455,3.1889531889548796e-06
1.3825180122496366,3.2293558827088211e-06
1.3862144317717007,3.2700850973637819e-06
1.389769865583248,3.3111544164143884e-06
1.39287984590942,3.3525414094505087e-06
1.3948205168627545,3.3941655406104685e-06
